student_id,name,major,gpa,standing,completed_courses,preferred_courses
59,Marc Martinez,Finance,2.51,Probation,"['CSE1010', 'MATH1131']",[]
60,David Williams II,Mathematics,3.57,Suspended,"['CSE1010', 'MATH1131']",[]
61,Cindy Dalton,Biology,2.44,Good,"['CSE1010', 'MATH1131']",[]
62,Caitlin Gonzalez,Computer Science,3.96,Good,"['CSE1010', 'MATH1131']",[]
63,Charles Bailey,Biology,2.41,Suspended,"['CSE1010', 'MATH1131']",[]
64,Jaime Bowman,Computer Science,2.85,Good,"['MATH1131', 'CSE1010']",[]
65,Evan Lindsey,Finance,2.4,Suspended,"['MATH1131', 'CSE1010']",[]
66,Wesley Nguyen,Mathematics,2.92,Suspended,"['MATH1131', 'CSE1010']",[]
67,Joseph Lewis DDS,Engineering,3.2,Good,"['MATH1131', 'CSE1010']",[]
68,Charles Larson,Computer Science,2.33,Suspended,"['MATH1131', 'CSE1010']",[]
69,Matthew Armstrong,Finance,2.55,Probation,"['MATH1131', 'CSE1010']",[]
70,John Wright,Mathematics,2.55,Good,"['MATH1131', 'CSE1010']",[]
71,Jennifer Wise,Computer Science,2.24,Probation,"['CSE1010', 'MATH1131']",[]
72,Patty Paul,Engineering,2.39,Suspended,"['CSE1010', 'MATH1131']",[]
73,Kevin Kerr,Engineering,3.02,Probation,"['MATH1131', 'CSE1010']",[]
74,Krista Duarte,Mathematics,2.0,Good,"['MATH1131', 'CSE1010']",[]
75,Eric Johnson,Mathematics,2.12,Good,"['CSE1010', 'MATH1131']",[]
76,Sherry Walker,Finance,2.72,Suspended,"['CSE1010', 'MATH1131']",[]
77,Trevor Lopez,Computer Science,3.56,Suspended,"['MATH1131', 'CSE1010']",[]
78,Amanda Wagner,Engineering,3.51,Good,"['MATH1131', 'CSE1010']",[]
79,Eric Summers,Mathematics,2.04,Suspended,"['CSE1010', 'MATH1131']",[]
80,Jeffrey Carter,Computer Science,3.68,Suspended,"['MATH1131', 'CSE1010']",[]
81,Kayla Woodward,Finance,2.97,Suspended,"['MATH1131', 'CSE1010']",[]
82,Natalie Galloway,Engineering,2.33,Suspended,"['CSE1010', 'MATH1131']",[]
83,Timothy Kelly,Mathematics,3.28,Good,"['CSE1010', 'MATH1131']",[]
84,Ethan Johnson,Finance,3.78,Suspended,"['CSE1010', 'MATH1131']",[]
85,Lisa Burton,Mathematics,2.16,Probation,"['MATH1131', 'CSE1010']",[]
86,Morgan Christensen,Engineering,3.99,Probation,"['CSE1010', 'MATH1131']",[]
87,Gregory Walker,Biology,2.74,Suspended,"['MATH1131', 'CSE1010']",[]
88,Daniel Gutierrez,Computer Science,2.28,Good,"['MATH1131', 'CSE1010']",[]
89,Taylor Lopez,Finance,2.73,Good,"['CSE1010', 'MATH1131']",[]
90,Katherine Berry,Mathematics,2.11,Suspended,"['MATH1131', 'CSE1010']",[]
91,Christopher Hernandez,Engineering,2.12,Good,"['CSE1010', 'MATH1131']",[]
92,Arthur Thomas,Computer Science,2.39,Good,"['MATH1131', 'CSE1010']",[]
93,Jessica Hernandez,Finance,3.86,Probation,"['MATH1131', 'CSE1010']",[]
94,James Porter,Biology,3.43,Suspended,"['CSE1010', 'MATH1131']",[]
95,Alexis Hawkins,Finance,2.91,Good,"['MATH1131', 'CSE1010']",[]
96,John Brown,Computer Science,3.1,Probation,"['MATH1131', 'CSE1010']",[]
97,Amy Ortega,Computer Science,2.24,Probation,"['CSE1010', 'MATH1131']",[]
98,Jody Brown,Finance,2.39,Suspended,"['CSE1010', 'MATH1131']",[]
99,Alex Choi,Finance,3.15,Good,"['MATH1131', 'CSE1010']",[]
100,Amy Brown,Mathematics,3.77,Probation,"['MATH1131', 'CSE1010']",[]
101,Jennifer Booth,Computer Science,2.92,Good,"['CSE1010', 'MATH1131']",[]
102,Kathryn Bowers,Mathematics,2.33,Good,"['CSE1010', 'MATH1131']",[]
103,Breanna Holmes,Finance,2.9,Suspended,"['CSE1010', 'MATH1131']",[]
104,Sean Ramos,Computer Science,3.05,Probation,"['CSE1010', 'MATH1131']",[]
105,Matthew Macdonald,Engineering,2.0,Suspended,"['MATH1131', 'CSE1010']",[]
106,Brianna Smith,Biology,2.54,Suspended,"['MATH1131', 'CSE1010']",[]
107,Douglas Gibbs,Engineering,3.35,Probation,"['CSE1010', 'MATH1131']",[]
108,Sara Long,Engineering,2.76,Good,"['MATH1131', 'CSE1010']",[]
109,Hannah Smith,Engineering,2.4,Good,"['CSE1010', 'MATH1131']",[]
110,Ashley Michael,Biology,2.68,Good,"['CSE1010', 'MATH1131']",[]
111,Debra Wang,Mathematics,2.38,Good,"['MATH1131', 'CSE1010']",[]
112,Michael White,Computer Science,2.73,Probation,"['MATH1131', 'CSE1010']",[]
113,Raymond Lindsey,Engineering,2.97,Probation,"['MATH1131', 'CSE1010']",[]
114,Tyler Williams,Mathematics,3.2,Suspended,"['MATH1131', 'CSE1010']",[]
115,Caitlin Wilson,Mathematics,2.29,Probation,"['MATH1131', 'CSE1010']",[]
116,Dennis Rodriguez,Finance,3.46,Suspended,"['MATH1131', 'CSE1010']",[]
117,Patrick Meyers,Engineering,3.3,Good,"['MATH1131', 'CSE1010']",[]
118,Noah Martin,Finance,3.4,Probation,"['CSE1010', 'MATH1131']",[]
119,Jennifer Brennan,Biology,2.6,Suspended,"['CSE1010', 'MATH1131']",[]
120,Jeremy Jackson,Mathematics,3.26,Good,"['MATH1131', 'CSE1010']",[]
121,Laura Shaw,Computer Science,2.79,Suspended,"['MATH1131', 'CSE1010']",[]
122,Dr. Albert Baker,Mathematics,3.52,Probation,"['MATH1131', 'CSE1010']",[]
123,Phillip Bailey,Computer Science,3.22,Probation,"['CSE1010', 'MATH1131']",[]
124,Jacqueline Cooper,Finance,2.35,Good,"['MATH1131', 'CSE1010']",[]
125,Charles Larsen,Computer Science,2.44,Good,"['CSE1010', 'MATH1131']",[]
126,Natalie Velez,Biology,3.64,Suspended,"['CSE1010', 'MATH1131']",[]
127,Henry Guerra,Engineering,3.9,Probation,"['CSE1010', 'MATH1131']",[]
128,John Parsons,Mathematics,2.39,Suspended,"['MATH1131', 'CSE1010']",[]
129,Jennifer Jackson,Biology,2.81,Probation,"['MATH1131', 'CSE1010']",[]
130,Cheryl Nelson,Mathematics,3.15,Good,"['MATH1131', 'CSE1010']",[]
131,David Roberts,Engineering,3.01,Suspended,"['CSE1010', 'MATH1131']",[]
132,Jimmy Branch,Biology,2.9,Suspended,"['MATH1131', 'CSE1010']",[]
133,Ellen Parker,Engineering,2.9,Probation,"['CSE1010', 'MATH1131']",[]
134,Leah Richardson,Mathematics,2.2,Suspended,"['MATH1131', 'CSE1010']",[]
135,Catherine Townsend,Biology,3.37,Suspended,"['CSE1010', 'MATH1131']",[]
136,Amber Allen,Computer Science,2.53,Suspended,"['MATH1131', 'CSE1010']",[]
137,Andrew Bradley,Biology,3.75,Probation,"['MATH1131', 'CSE1010']",[]
138,Colleen Newman,Engineering,3.83,Suspended,"['CSE1010', 'MATH1131']",[]
139,Lee Baker DDS,Finance,3.58,Good,"['CSE1010', 'MATH1131']",[]
140,Harold Byrd,Mathematics,2.5,Probation,"['MATH1131', 'CSE1010']",[]
141,Madeline Mitchell,Mathematics,2.8,Good,"['MATH1131', 'CSE1010']",[]
142,Aaron Jones,Mathematics,3.76,Probation,"['MATH1131', 'CSE1010']",[]
143,Carol Sheppard,Engineering,3.84,Suspended,"['CSE1010', 'MATH1131']",[]
144,John Brooks,Engineering,2.18,Good,"['MATH1131', 'CSE1010']",[]
145,Robert Dudley,Finance,2.92,Good,"['MATH1131', 'CSE1010']",[]
146,Jordan Thomas,Mathematics,3.58,Suspended,"['MATH1131', 'CSE1010']",[]
147,Courtney Pierce,Engineering,3.35,Good,"['MATH1131', 'CSE1010']",[]
148,Brandon Green,Computer Science,2.39,Suspended,"['MATH1131', 'CSE1010']",[]
149,Michelle Green,Mathematics,2.57,Suspended,"['CSE1010', 'MATH1131']",[]
150,Ana Wang,Computer Science,3.0,Suspended,"['CSE1010', 'MATH1131']",[]
151,Brian Hernandez,Computer Science,3.03,Probation,"['CSE1010', 'MATH1131']",[]
152,Katie Vaughan,Finance,2.24,Good,"['CSE1010', 'MATH1131']",[]
153,Robert Lawrence,Finance,3.92,Suspended,"['CSE1010', 'MATH1131']",[]
154,Tonya Miller,Computer Science,2.81,Good,"['MATH1131', 'CSE1010']",[]
155,Sarah Leon,Finance,3.65,Good,"['MATH1131', 'CSE1010']",[]
156,Dana Ball,Engineering,2.57,Suspended,"['MATH1131', 'CSE1010']",[]
157,Ryan Duncan,Biology,2.5,Good,"['MATH1131', 'CSE1010']",[]
158,Sean Johnson,Finance,3.78,Good,"['MATH1131', 'CSE1010']",[]
159,Hailey Wilson,Biology,2.71,Probation,"['CSE1010', 'MATH1131']",[]
160,Jillian Jones,Mathematics,2.57,Probation,"['MATH1131', 'CSE1010']",[]
161,Brett Moss,Computer Science,2.02,Suspended,"['CSE1010', 'MATH1131']",[]
162,Ricardo Farmer,Finance,2.38,Probation,"['CSE1010', 'MATH1131']",[]
163,Kathleen Smith,Engineering,3.87,Suspended,"['CSE1010', 'MATH1131']",[]
164,Mary Callahan,Engineering,3.32,Suspended,"['CSE1010', 'MATH1131']",[]
165,Holly Villa,Mathematics,2.57,Good,"['CSE1010', 'MATH1131']",[]
166,Amy Hampton DDS,Finance,2.81,Suspended,"['CSE1010', 'MATH1131']",[]
167,Brian Friedman,Finance,2.17,Suspended,"['CSE1010', 'MATH1131']",[]
168,Kelly Shaw,Mathematics,3.39,Good,"['MATH1131', 'CSE1010']",[]
169,Gary Mcconnell,Biology,3.28,Probation,"['CSE1010', 'MATH1131']",[]
170,Lisa Miller,Engineering,3.94,Suspended,"['MATH1131', 'CSE1010']",[]
171,Sarah Hall,Engineering,2.46,Probation,"['MATH1131', 'CSE1010']",[]
172,Willie Levy,Mathematics,3.78,Good,"['CSE1010', 'MATH1131']",[]
173,Sean Mckinney,Finance,2.19,Suspended,"['MATH1131', 'CSE1010']",[]
174,Jesse Rogers,Mathematics,2.43,Probation,"['MATH1131', 'CSE1010']",[]
175,Barry Montgomery,Engineering,3.67,Good,"['MATH1131', 'CSE1010']",[]
176,William Tucker,Mathematics,2.31,Probation,"['MATH1131', 'CSE1010']",[]
177,Michael Ward,Engineering,2.2,Probation,"['MATH1131', 'CSE1010']",[]
178,Eric Nicholson,Computer Science,2.18,Suspended,"['CSE1010', 'MATH1131']",[]
179,Angela Garrett,Engineering,3.54,Suspended,"['CSE1010', 'MATH1131']",[]
180,Michael Pena DVM,Mathematics,3.13,Probation,"['MATH1131', 'CSE1010']",[]
181,Shane Meyer,Engineering,3.57,Good,"['MATH1131', 'CSE1010']",[]
182,Jon Carter,Computer Science,3.26,Suspended,"['MATH1131', 'CSE1010']",[]
183,David Rodriguez,Computer Science,2.43,Good,"['MATH1131', 'CSE1010']",[]
184,Michael Gutierrez,Engineering,2.78,Probation,"['CSE1010', 'MATH1131']",[]
185,Leslie Chase,Mathematics,3.66,Probation,"['MATH1131', 'CSE1010']",[]
186,Sarah Mills,Biology,2.02,Probation,"['CSE1010', 'MATH1131']",[]
187,Amy Vincent,Computer Science,2.47,Suspended,"['CSE1010', 'MATH1131']",[]
188,Gregory Barrera,Finance,2.06,Suspended,"['MATH1131', 'CSE1010']",[]
189,Alisha Stewart,Mathematics,2.68,Probation,"['CSE1010', 'MATH1131']",[]
190,Brandi Chen,Biology,3.56,Suspended,"['MATH1131', 'CSE1010']",[]
191,Jessica Thomas,Engineering,2.14,Good,"['MATH1131', 'CSE1010']",[]
192,Michael Lozano,Computer Science,3.27,Suspended,"['CSE1010', 'MATH1131']",[]
193,Amanda Duke,Engineering,3.4,Probation,"['CSE1010', 'MATH1131']",[]
194,Stephanie Gardner,Computer Science,2.79,Probation,"['MATH1131', 'CSE1010']",[]
195,Robin Calderon,Engineering,3.73,Good,"['MATH1131', 'CSE1010']",[]
196,Heidi Bennett,Biology,2.89,Probation,"['CSE1010', 'MATH1131']",[]
197,Whitney Lucas,Computer Science,3.93,Suspended,"['MATH1131', 'CSE1010']",[]
198,David Shields,Engineering,3.77,Good,"['MATH1131', 'CSE1010']",[]
199,Maria Williams,Biology,3.16,Good,"['MATH1131', 'CSE1010']",[]
200,Jacob Patel,Finance,2.65,Probation,"['MATH1131', 'CSE1010']",[]
201,Sandra Lyons,Biology,3.23,Suspended,"['CSE1010', 'MATH1131']",[]
202,Rachel Lewis,Computer Science,2.47,Probation,"['MATH1131', 'CSE1010']",[]
203,Jeremy Perkins,Computer Science,2.02,Good,"['MATH1131', 'CSE1010']",[]
204,John Nolan,Engineering,3.38,Probation,"['CSE1010', 'MATH1131']",[]
205,Robin Ramos,Finance,2.06,Suspended,"['CSE1010', 'MATH1131']",[]
206,Maria Lopez,Mathematics,3.22,Probation,"['CSE1010', 'MATH1131']",[]
207,Michael Turner,Engineering,3.4,Probation,"['CSE1010', 'MATH1131']",[]
208,Margaret Edwards,Engineering,3.31,Probation,"['CSE1010', 'MATH1131']",[]
209,Terry Burton,Finance,3.1,Good,"['MATH1131', 'CSE1010']",[]
210,Michelle Mathis,Biology,3.67,Probation,"['CSE1010', 'MATH1131']",[]
211,John Prince,Biology,3.31,Good,"['MATH1131', 'CSE1010']",[]
212,Eric Sandoval,Biology,2.03,Good,"['CSE1010', 'MATH1131']",[]
213,Stephanie Luna,Computer Science,2.91,Suspended,"['MATH1131', 'CSE1010']",[]
214,Karen Moore,Biology,3.46,Suspended,"['CSE1010', 'MATH1131']",[]
215,Manuel Farmer,Computer Science,3.93,Suspended,"['CSE1010', 'MATH1131']",[]
216,Jason Nelson,Biology,3.96,Probation,"['CSE1010', 'MATH1131']",[]
217,Alexis Turner,Engineering,2.86,Probation,"['MATH1131', 'CSE1010']",[]
218,Nicole Sherman,Mathematics,4.0,Probation,"['CSE1010', 'MATH1131']",[]
219,Jonathan Brown,Computer Science,3.33,Good,"['CSE1010', 'MATH1131']",[]
220,Natalie Thomas,Computer Science,2.73,Probation,"['CSE1010', 'MATH1131']",[]
221,Kevin Carroll,Finance,3.07,Good,"['MATH1131', 'CSE1010']",[]
222,Dustin Giles,Finance,2.96,Probation,"['MATH1131', 'CSE1010']",[]
223,Mrs. Erica Costa,Finance,2.06,Good,"['MATH1131', 'CSE1010']",[]
224,Angela King,Biology,2.62,Probation,"['MATH1131', 'CSE1010']",[]
225,Lucas Day,Engineering,3.68,Probation,"['CSE1010', 'MATH1131']",[]
226,Lindsey Vega,Computer Science,3.15,Suspended,"['MATH1131', 'CSE1010']",[]
227,Shane Rodriguez,Biology,2.79,Suspended,"['CSE1010', 'MATH1131']",[]
228,Danielle Vega,Engineering,2.06,Suspended,"['CSE1010', 'MATH1131']",[]
229,Luke Ball,Mathematics,2.57,Good,"['CSE1010', 'MATH1131']",[]
230,Catherine Watson,Finance,3.62,Probation,"['CSE1010', 'MATH1131']",[]
231,Jody Sanchez,Biology,3.25,Probation,"['CSE1010', 'MATH1131']",[]
232,Joy Sanchez,Biology,2.14,Probation,"['CSE1010', 'MATH1131']",[]
233,Ricky Flores,Computer Science,2.78,Good,"['CSE1010', 'MATH1131']",[]
234,Gary Wells,Mathematics,3.4,Suspended,"['CSE1010', 'MATH1131']",[]
235,Amanda Chaney,Engineering,2.65,Probation,"['CSE1010', 'MATH1131']",[]
236,Meagan Brown,Computer Science,3.2,Good,"['CSE1010', 'MATH1131']",[]
237,Susan Anderson,Computer Science,3.61,Good,"['MATH1131', 'CSE1010']",[]
238,Michael Bartlett,Engineering,2.63,Suspended,"['CSE1010', 'MATH1131']",[]
239,Nicole Vazquez,Finance,2.38,Good,"['CSE1010', 'MATH1131']",[]
240,Tanya Garcia,Mathematics,3.98,Good,"['CSE1010', 'MATH1131']",[]
241,Claire Jones,Biology,3.69,Good,"['MATH1131', 'CSE1010']",[]
242,Brandon Moore,Engineering,2.9,Good,"['CSE1010', 'MATH1131']",[]
243,Courtney Scott,Finance,2.78,Good,"['MATH1131', 'CSE1010']",[]
244,Julie George,Computer Science,3.75,Probation,"['CSE1010', 'MATH1131']",[]
245,Michael Lin,Biology,2.01,Good,"['MATH1131', 'CSE1010']",[]
246,Julie King,Biology,3.77,Suspended,"['CSE1010', 'MATH1131']",[]
247,Jessica Cortez,Computer Science,3.93,Suspended,"['CSE1010', 'MATH1131']",[]
248,Mr. James Mendoza,Computer Science,2.95,Suspended,"['MATH1131', 'CSE1010']",[]
249,Dr. Timothy Cox PhD,Biology,2.23,Probation,"['MATH1131', 'CSE1010']",[]
250,Michael Myers,Computer Science,3.7,Probation,"['CSE1010', 'MATH1131']",[]
251,Jose Bray,Finance,2.32,Suspended,"['CSE1010', 'MATH1131']",[]
252,Teresa Garner,Computer Science,2.3,Good,"['MATH1131', 'CSE1010']",[]
253,Anna Ward,Finance,2.95,Probation,"['CSE1010', 'MATH1131']",[]
254,Dr. Melanie Ford DDS,Engineering,2.51,Suspended,"['CSE1010', 'MATH1131']",[]
255,Amy Garcia,Engineering,2.42,Good,"['CSE1010', 'MATH1131']",[]
256,Megan Wood,Mathematics,3.79,Probation,"['CSE1010', 'MATH1131']",[]
257,Robert Woods,Computer Science,2.39,Probation,"['MATH1131', 'CSE1010']",[]
258,Mrs. Regina Martinez DDS,Mathematics,2.71,Suspended,"['CSE1010', 'MATH1131']",[]
259,Warren Nelson,Mathematics,2.05,Good,"['CSE1010', 'MATH1131']",[]
260,Autumn Sims,Biology,3.24,Suspended,"['CSE1010', 'MATH1131']",[]
261,Daryl Cook,Computer Science,2.07,Good,"['CSE1010', 'MATH1131']",[]
262,Alyssa Washington,Engineering,3.09,Good,"['MATH1131', 'CSE1010']",[]
263,Troy Hays,Mathematics,2.65,Good,"['MATH1131', 'CSE1010']",[]
264,Spencer Ruiz,Engineering,2.49,Good,"['CSE1010', 'MATH1131']",[]
265,Ronald Ramirez,Computer Science,2.64,Suspended,"['CSE1010', 'MATH1131']",[]
266,Peter Willis,Mathematics,3.8,Good,"['MATH1131', 'CSE1010']",[]
267,Christy Melendez,Engineering,3.92,Good,"['CSE1010', 'MATH1131']",[]
268,Kerry Sutton,Biology,2.3,Suspended,"['MATH1131', 'CSE1010']",[]
269,Adam Watson,Computer Science,3.16,Probation,"['CSE1010', 'MATH1131']",[]
270,Rickey Williams,Biology,3.24,Probation,"['MATH1131', 'CSE1010']",[]
271,Anne Gates,Biology,3.0,Good,"['MATH1131', 'CSE1010']",[]
272,Ashley Perry,Mathematics,3.27,Suspended,"['MATH1131', 'CSE1010']",[]
273,Hector Wall,Computer Science,3.92,Suspended,"['MATH1131', 'CSE1010']",[]
274,Tracy Proctor,Biology,2.63,Probation,"['MATH1131', 'CSE1010']",[]
275,Kelsey Cox,Engineering,2.81,Suspended,"['CSE1010', 'MATH1131']",[]
276,Andrew Davis,Engineering,2.21,Suspended,"['CSE1010', 'MATH1131']",[]
277,Virginia Gonzalez,Engineering,2.76,Good,"['CSE1010', 'MATH1131']",[]
278,Jacqueline Hoffman,Finance,3.46,Probation,"['MATH1131', 'CSE1010']",[]
279,Megan Odom,Engineering,2.44,Suspended,"['MATH1131', 'CSE1010']",[]
280,Xavier Becker,Engineering,3.8,Good,"['MATH1131', 'CSE1010']",[]
281,Richard Reynolds,Engineering,3.82,Good,"['MATH1131', 'CSE1010']",[]
282,Angela Abbott,Mathematics,2.72,Probation,"['MATH1131', 'CSE1010']",[]
283,Loretta Allen,Mathematics,3.16,Good,"['MATH1131', 'CSE1010']",[]
284,Meredith Lawson,Biology,2.41,Good,"['MATH1131', 'CSE1010']",[]
285,Elizabeth Knight,Finance,3.41,Suspended,"['CSE1010', 'MATH1131']",[]
286,Cody Copeland,Biology,3.25,Probation,"['MATH1131', 'CSE1010']",[]
287,Alexandra Shields,Biology,3.34,Suspended,"['MATH1131', 'CSE1010']",[]
288,Cheryl Mcdonald,Mathematics,2.1,Probation,"['CSE1010', 'MATH1131']",[]
289,Nichole King,Engineering,3.84,Probation,"['CSE1010', 'MATH1131']",[]
290,Eric Perez,Mathematics,2.65,Good,"['MATH1131', 'CSE1010']",[]
291,Shawn Ramsey,Mathematics,2.09,Suspended,"['CSE1010', 'MATH1131']",[]
292,Deborah Price,Engineering,2.16,Good,"['MATH1131', 'CSE1010']",[]
293,Ruben Coleman,Biology,3.82,Probation,"['MATH1131', 'CSE1010']",[]
294,Matthew Jones,Mathematics,2.46,Probation,"['MATH1131', 'CSE1010']",[]
295,Anthony Brown,Engineering,2.15,Probation,"['CSE1010', 'MATH1131']",[]
296,Daniel Coleman,Computer Science,3.72,Good,"['CSE1010', 'MATH1131']",[]
297,Jacqueline White,Biology,3.82,Good,"['CSE1010', 'MATH1131']",[]
298,Arthur Dixon,Finance,3.64,Good,"['MATH1131', 'CSE1010']",[]
299,Brian Berry,Computer Science,3.92,Good,"['CSE1010', 'MATH1131']",[]
300,Mikayla Nunez,Mathematics,2.24,Probation,"['MATH1131', 'CSE1010']",[]
301,Nicole Arellano,Mathematics,2.15,Suspended,"['CSE1010', 'MATH1131']",[]
302,Vincent Alexander,Finance,2.95,Suspended,"['MATH1131', 'CSE1010']",[]
303,Dan Herman,Engineering,3.9,Probation,"['MATH1131', 'CSE1010']",[]
304,Alexandra Carpenter,Engineering,2.24,Suspended,"['CSE1010', 'MATH1131']",[]
305,Cindy Sanchez,Computer Science,3.98,Suspended,"['MATH1131', 'CSE1010']",[]
306,David Swanson,Finance,2.9,Suspended,"['MATH1131', 'CSE1010']",[]
307,Ashley Clarke,Finance,2.65,Probation,"['MATH1131', 'CSE1010']",[]
308,Christopher Robinson,Finance,2.76,Probation,"['CSE1010', 'MATH1131']",[]
309,Michael Mcgee,Computer Science,3.82,Probation,"['CSE1010', 'MATH1131']",[]
310,James Martinez,Engineering,3.28,Suspended,"['CSE1010', 'MATH1131']",[]
311,Jason Greene,Computer Science,3.96,Good,"['CSE1010', 'MATH1131']",[]
312,Karen West,Mathematics,2.06,Good,"['MATH1131', 'CSE1010']",[]
313,Cynthia Smith,Mathematics,2.97,Probation,"['CSE1010', 'MATH1131']",[]
314,Bryan Morris,Engineering,2.43,Probation,"['MATH1131', 'CSE1010']",[]
315,Paul Burns,Mathematics,2.25,Probation,"['CSE1010', 'MATH1131']",[]
316,James Kim,Biology,3.0,Probation,"['MATH1131', 'CSE1010']",[]
317,Dustin Brown,Mathematics,3.86,Suspended,"['MATH1131', 'CSE1010']",[]
318,Joseph Garza,Mathematics,2.15,Good,"['MATH1131', 'CSE1010']",[]
319,Kristin Hines,Engineering,2.9,Probation,"['CSE1010', 'MATH1131']",[]
320,Sarah Nguyen,Biology,2.42,Good,"['CSE1010', 'MATH1131']",[]
